Open,High,Low,Close,Volume,TEN,HUNDREAD
14.96875,15.59375,14.6875,15.5,7843200,0,0
15.125,15.5,14.59375,14.625,6290200,0,0
14.53125,15.0625,14,15,8204600,0,0
15.5,16,15.25,16,11489400,0,0
15.40625,16.40625,15.375,16.25,8543400,0,0
16.75,17.75,16.6875,17.5,12916400,0,0
17.5,17.96875,16.96875,17.25,6679800,0,0
17,18.375,16.8125,18.125,8818600,0,0
18.375,18.875,17.5625,18.875,7542200,0,0
18.5625,20.28125,18.5,20.1875,15007800,16.93125,0
20,20.625,19.34375,19.5,10871400,17.33125,0
19.875,21.5,19.40625,19.59375,8924400,17.828125,0
21.75,22.5625,19,19.5,28847200,18.278125,0
19.5625,19.5625,18.0625,18.9375,11715000,18.571875,0
18.625,19.21875,16.90625,17.25,10269800,18.671875,0
17.28125,20.25,17.25,20,10805800,18.921875,0
18.8125,19.125,18.28125,18.5,7597800,19.046875,0
19,19.5,18.4375,18.46875,6167800,19.08125,0
18.59375,18.875,17.1875,17.625,6867200,18.95625,0
17.625,18.125,17.21875,18,4288800,18.7375,0
18.25,18.375,17.5,18.28125,5111200,18.615625,0
18.15625,18.25,17.78125,18.03125,4076200,18.459375,0
18.375,19.6875,18.15625,19.5,9523800,18.459375,0
19.5,20.0625,19.1875,19.28125,7109200,18.49375,0
19.28125,20.65625,19.0625,20.65625,6056600,18.834375,0
20.5,21,19.59375,20.6875,8583800,18.903125,0
20.6875,21.1875,20.25,21.03125,7813600,19.15625,0
21.03125,21.375,20.65625,21.25,6373600,19.434375,0
21.375,22.75,20.90625,22.75,14933400,19.946875,0
22.40625,22.75,21.0625,21.625,8745200,20.309375,0
21.75,22.375,21.1875,21.75,8673800,20.65625,0
21.875,22.59375,21.6875,21.875,7579800,21.040625,0
22.09375,22.09375,21.0625,21.5,5442600,21.240625,0
21.1875,21.8125,20,21.5,6451000,21.4625,0
20.125,21.21875,19.8125,20.90625,5422600,21.4875,0
20.84375,20.96875,20.53125,20.53125,2930400,21.471875,0
20.75,21.46875,20.34375,21.28125,4091400,21.496875,0
20.78125,21.1875,19.625,20.25,10911400,21.396875,0
20.15625,20.15625,18.8125,18.875,8847000,21.009375,0
19.6875,20.125,19.5,19.75,8303200,20.821875,0
19.9375,20.6875,19.84375,20.25,6552200,20.671875,0
20.21875,20.21875,19.25,19.625,4540600,20.446875,0
19.875,21,19.875,20.75,6913000,20.371875,0
23,24.5,23,23.75,22458400,20.596875,0
24.71875,29.5,24.5,27.5,25724000,21.25625,0
27.75,27.75,24,26.75,13466000,21.878125,0
26.34375,30,25.25,29.0625,13412000,22.65625,0
26.5625,27.125,25,26,16850000,23.23125,0
24.15625,26.625,24.125,25.75,7735800,23.91875,0
26,26.875,24,24,5936200,24.34375,0
24.5,25.21875,23.75,24.625,8376200,24.78125,0
24.8125,25,23.15625,24.59375,6421000,25.278125,0
24.40625,25.34375,24.0625,25,5280200,25.703125,0
25.46875,27.0625,25.375,26.875,7369200,26.015625,0
27.0625,27.875,26.3125,27.40625,9448000,26.00625,0
27.75,29.4375,27.625,28.75,9577200,26.20625,0
28.28125,29,26.25,27.6875,5679800,26.06875,0
26.75,28.4375,26.59375,27,6610000,26.16875,0
27,27.96875,26.90625,27.09375,4453400,26.303125,0
27.125,28.4375,26.75,27.5625,5329400,26.659375,0
28,28.125,25.9375,27.375,7653400,26.934375,0
26.4375,30,26.375,30,15643800,27.475,0
29.875,30.1875,28.25,29.5,10217200,27.925,0
29.625,30.9375,29,30.4375,9475000,28.28125,0
30.625,32.25,25.5,30.5625,17683000,28.596875,0
32,34.53125,30.90625,34.1875,21476000,29.140625,0
36.375,37.125,31.375,35.5,18208000,29.921875,0
35.4375,37.75,35,37.75,15218800,30.996875,0
38.375,39.59375,36.125,37.75,16499800,32.0625,0
35.78125,35.875,33.53125,35.3125,17022200,32.8375,0
34.875,38.5,31.375,38,11613600,33.9,0
38.59375,38.6875,35.0625,35.5,30025400,34.45,0
